Iniciando processamento de lotes
Total de lotes encontrados: 924


Imoveis que sofreram mudanca na area:
Logradouro do endereco do imovel 01-20-30 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1036, nome RUA PROJETADA 17 (NOVO HORIZONTE)
Logradouro do endereco do imovel 01-20-20 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1036, nome RUA PROJETADA 17 (NOVO HORIZONTE)
Logradouro do endereco do imovel 01-20-10 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1036, nome RUA PROJETADA 17 (NOVO HORIZONTE)
Logradouro do endereco do imovel 01-20-76 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 1043, nome RUA PROJETADA 16 (NOVO HORIZONTE) (ANTIGA 20)
Logradouro do endereco do imovel 01-28-122 nao foi encontrado. Logradouro no cadastro da prefeitura: cod 55, nome BRO NOVO HORIZONTE

Imoveis onde identificou Novas unidades (Imoveis Vagos com cobertura vetorizada):
O lote 01-28-439 nao possui unidade imobiliaria e foi identificado cobertura pela vetorizacao.
O lote 01-28-602 nao possui unidade imobiliaria e foi identificado cobertura pela vetorizacao.
O lote 01-28-622 nao possui unidade imobiliaria e foi identificado cobertura pela vetorizacao.
O lote 01-16-196 nao possui unidade imobiliaria e foi identificado cobertura pela vetorizacao.
O lote 01-11-35 nao possui unidade imobiliaria e foi identificado cobertura pela vetorizacao.
O lote 01-11-90 nao possui unidade imobiliaria e foi identificado cobertura pela vetorizacao.
